acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_peaks,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_peaks,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_peaks,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_range,gyro_x_peaks,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_range,gyro_y_peaks,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_range,gyro_z_peaks,mag_x_mean,mag_x_std,mag_x_min,mag_x_max,mag_x_range,mag_x_peaks,mag_y_mean,mag_y_std,mag_y_min,mag_y_max,mag_y_range,mag_y_peaks,mag_z_mean,mag_z_std,mag_z_min,mag_z_max,mag_z_range,mag_z_peaks,Label
-0.761755,0.107068032,-1.0095,-0.5806,0.4289,2,-0.550005,0.240537455,-0.8838,-0.1928,0.691,2,0.455375,0.378318465,-0.1169,0.9592,1.0761,2,0.12415,0.102571612,-0.0362,0.2644,0.3006,1,0.391665,0.101250103,0.2883,0.54,0.2517,0,0.917775,0.095397557,0.7692,1.0611,0.2919,0,2.178795,1.474869022,-0.825,4.2563,5.0813,0,14.441265,0.179499775,14.2875,14.85,0.5625,0,-40.241285,0.703411522,-40.9875,-39.3563,1.6312,1,Rotation Left
-0.294955,0.454710758,-1.1051,0.2865,1.3916,1,-1.01338,0.066492967,-1.0647,-0.8278,0.2369,3,0.636315,0.237213232,0.1311,0.9181,0.787,2,0.23247,0.037272994,0.1874,0.2669,0.0795,1,0.59645,0.078299384,0.4764,0.7085,0.2321,0,1.35428,0.158678671,1.0611,1.4692,0.4081,1,8.113125,2.040783294,4.2563,10.4062,6.1499,0,12.68533,0.752004152,11.8313,14.2875,2.4562,0,-40.494395,0.323648378,-40.9313,-40.2,0.7313,1,Rotation Left
0.981005,0.401887214,-0.0239,1.4725,1.4964,2,-0.903475,0.111660722,-1.0475,-0.6759,0.3716,3,0.396815,0.14858954,0.1465,0.5956,0.4491,1,0.152785,0.037645614,0.1092,0.1997,0.0905,0,0.70352,0.060830359,0.6414,0.7905,0.1491,1,1.48517,0.106327772,1.2871,1.6085,0.3214,1,15.7725,1.98383152,13.2375,19.575,6.3375,0,9.27941,1.318453103,6.8438,10.9125,4.0687,0,-39.80813,0.57769358,-40.5375,-39.1125,1.425,1,Rotation Left
1.3666,0.577075286,0.4362,2.2339,1.7977,2,-0.9901,0.275366768,-1.3182,-0.3478,0.9704,4,0.268945,0.953457974,-0.7413,1.8531,2.5944,2,-0.1835,0.256206546,-0.5004,0.1324,0.6328,0,0.59336,0.109516147,0.4484,0.7232,0.2748,1,1.51796,0.137534528,1.3104,1.6341,0.3237,0,21.85033,1.535284003,19.575,24.075,4.5,0,4.678125,1.173543014,3.2813,6.8438,3.5625,0,-37.87127,0.794207011,-39.3188,-36.7688,2.55,0,Rotation Left
1.29477,0.334536668,1.0065,2.2339,1.2274,2,-1.211335,0.119581563,-1.394,-1.0374,0.3566,2,1.086415,0.53639463,0.2701,1.8579,1.5878,1,0.02154,0.181135461,-0.2414,0.2375,0.4789,0,0.38663,0.14525372,0.2248,0.639,0.4142,0,1.297205,0.083376672,1.2188,1.479,0.2602,0,25.48973,0.804855158,24.075,26.4938,2.4188,0,0.134995,1.559738993,-1.5188,3.2813,4.8001,0,-35.933445,0.52666582,-36.7688,-35.2125,1.5563,1,Rotation Left
1.046535,0.470318399,0.4879,1.7732,1.2853,1,-1.00433,0.268049857,-1.3224,-0.4996,0.8228,2,0.505795,0.356305918,-0.2289,0.9808,1.2097,2,0.104285,0.078613099,0.0188,0.2375,0.2187,1,0.53784,0.12308024,0.1869,0.639,0.4521,1,1.22837,0.160117173,1.0135,1.479,0.4655,0,27.919705,0.890397512,26.4938,28.7438,2.25,1,-5.6438,1.688291481,-7.5938,-1.5188,6.075,0,-33.449985,1.111382965,-36.0375,-32.5312,3.5063,1,Rotation Left
1.064995,0.303046735,0.5777,1.557,0.9793,2,-0.27206,0.123365378,-0.4996,-0.0802,0.4194,2,0.229935,0.300984023,-0.2133,0.5928,0.8061,2,0.06353,0.056445506,-0.0459,0.1031,0.149,1,0.23954,0.214870918,-0.0098,0.5644,0.5742,1,0.761175,0.21940464,0.3733,1.0135,0.6402,0,28.372515,0.115354537,28.2375,28.5375,0.3,1,-10.995955,1.231467074,-12.6938,-9.3563,3.3375,0,-31.2825,0.795901611,-32.4,-30.525,1.875,1,Rotation Left
0.896085,0.22192385,0.5333,1.1922,0.6589,2,-0.0272,0.128894953,-0.2101,0.2791,0.4892,2,0.2009,0.179161536,-0.1126,0.4453,0.5579,3,-0.054565,0.084337668,-0.1364,0.0824,0.2188,0,0.28816,0.145334388,0.1331,0.5644,0.4313,0,0.324975,0.057275744,0.256,0.3916,0.1356,1,28.94628,0.45086442,28.2375,29.4188,1.1813,1,-13.2788,0.396046872,-13.6688,-12.6938,0.975,0,-30.39753,1.077344809,-31.95,-29.0813,2.8687,1,Rotation Left
0.61475,0.50859403,-0.1698,1.2764,1.4462,1,0.259925,0.063978058,0.1446,0.3561,0.2115,3,-0.058395,0.424271138,-0.5538,0.8277,1.3815,1,0.00911,0.171751038,-0.2315,0.2046,0.4361,1,-0.12416,0.12069542,-0.2053,0.2248,0.4301,0,0.0264,0.158647553,-0.1716,0.2988,0.4704,0,28.836595,0.07274857,28.725,28.9313,0.2063,1,-14.70282,0.442628443,-14.9625,-13.6688,1.2937,1,-29.76284,0.134859747,-30,-29.5875,0.4125,1,Rotation Left
-0.03199,0.436880379,-0.9883,0.3501,1.3384,3,0.23688,0.140917826,-0.1134,0.3929,0.5063,3,0.056395,0.681696828,-0.8036,0.9058,1.7094,0,0.08135,0.173368966,-0.1559,0.3219,0.4778,1,-0.169335,0.163944016,-0.3543,0.0696,0.4239,1,-0.06551,0.037221175,-0.1008,0,0.1008,0,22.451285,13.86512323,-25.7438,28.725,54.4688,0,-13.021905,4.38145473,-14.9625,0,14.9625,2,-27.467835,9.170297168,-30.9,0,30.9,1,Rotation Left
-0.61924,0.359974925,-0.9883,-0.0489,0.9394,3,0.03051,0.143970014,-0.1286,0.3561,0.4847,2,0.269965,0.400481911,-0.2672,0.9058,1.173,1,-0.02982,0.078500685,-0.1435,0.0532,0.1967,1,-0.04899,0.097833404,-0.1925,0.0494,0.2419,1,0.21438,0.078257291,0,0.2834,0.2834,1,-25.279705,0.805364129,-25.95,-24.1875,1.7625,1,-12.204375,0.342150255,-12.6375,-11.6625,0.975,0,-28.82909,0.408446342,-29.25,-27.825,1.425,0,Rotation Left
-1.03377,0.563716824,-1.7501,-0.1891,1.561,0,0.20498,0.294771665,-0.1435,0.6114,0.7549,1,0.127915,0.629795128,-0.6431,1.1039,1.747,1,0.067505,0.147940047,-0.1154,0.2646,0.38,1,0.103325,0.113745725,-0.0276,0.2582,0.2858,0,0.55755,0.207105132,0.2993,0.8075,0.5082,1,-26.49191,0.414814519,-27,-25.9313,1.0687,0,-10.10251,1.145908488,-11.6625,-8.3063,3.3562,0,-28.16629,0.686357424,-29.0813,-27.3188,1.7625,1,Rotation Left
-0.146445,0.253031523,-0.6139,0.4226,1.0365,2,0.014145,0.191774752,-0.3036,0.3671,0.6707,2,0.146225,0.500562139,-0.5944,1.0353,1.6297,1,0.186135,0.151568226,-0.0213,0.3586,0.3799,1,0.277405,0.131147106,0.1361,0.461,0.3249,1,0.67956,0.036175923,0.6487,0.7745,0.1258,0,-26.460035,0.75606871,-27.1875,-25.2563,1.9312,0,-7.05097,0.602059005,-8.3063,-6.2813,2.025,1,-29.26785,0.516080742,-30.1125,-28.7813,1.3312,1,Rotation Left
0.518485,0.221580115,0.1669,0.8953,0.7284,1,-0.076895,0.133809262,-0.3427,0.1436,0.4863,2,0.218525,0.631212171,-0.8092,1.0475,1.8567,1,0.083795,0.166493254,-0.1178,0.2596,0.3774,0,0.401285,0.137606458,0.2241,0.5748,0.3507,1,0.86037,0.064440834,0.7745,0.9261,0.1516,0,-24.924395,0.987816442,-25.725,-23.5688,2.1562,0,-3.753785,1.310808775,-7.3688,-1.7813,5.5875,1,-31.56472,1.479822137,-33.5438,-29.8313,3.7125,1,Rotation Left
0.556665,0.325772154,0.224,1.2553,1.0313,2,-0.39737,0.061703169,-0.5406,-0.3105,0.2301,3,0.27635,0.323048737,-0.2919,0.8734,1.1653,1,0.031835,0.16009734,-0.1948,0.2596,0.4544,1,0.425875,0.088642218,0.2241,0.505,0.2809,1,1.250545,0.18761777,0.9261,1.444,0.5179,0,-22.96876,1.077028987,-23.775,-20.1562,3.6188,0,1.52061,2.324589563,-1.7813,3.9,5.6813,1,-33.18002,0.939152804,-34.9688,-31.9313,3.0375,0,Rotation Left
0.490405,0.214459326,-0.0148,1.0824,1.0972,2,-0.75968,0.135045691,-0.9915,-0.4796,0.5119,2,0.587225,0.6414354,-0.3701,1.5256,1.8957,2,0.10205,0.050865278,0.0373,0.1631,0.1258,1,0.49663,0.02987628,0.4575,0.5343,0.0768,0,1.50487,0.132761403,1.3182,1.6334,0.3152,0,-18.68812,1.552393412,-20.1562,-15.8438,4.3124,0,7.276875,2.447675157,3.5625,10.9875,7.425,0,-35.35691,0.493469766,-35.8688,-34.8,1.0688,1,Rotation Left
0.277325,0.374104965,-0.4514,0.6631,1.1145,3,-0.943355,0.132489398,-1.1955,-0.7421,0.4534,2,0.088445,0.35588687,-0.3756,0.7856,1.1612,1,0.28529,0.139877453,-0.1118,0.3854,0.4972,1,0.495565,0.101300658,0.3622,0.7641,0.4019,0,1.63017,0.057005185,1.5613,1.6994,0.1381,1,-12.4613,2.023874687,-15.8438,-9.6938,6.15,0,11.760015,1.375475934,10.0875,13.65,3.5625,0,-37.10532,0.797920243,-38.025,-35.7938,2.2312,0,Rotation Left
0.028515,0.271629896,-0.4537,0.5435,0.9972,3,-0.56958,0.176620105,-0.8613,-0.3237,0.5376,2,0.752605,0.294446568,0.1934,1.2411,1.0477,2,-0.008525,0.121818836,-0.1118,0.278,0.3898,1,0.66632,0.066855692,0.5283,0.7641,0.2358,0,1.40318,0.121306964,1.1839,1.576,0.3921,0,-4.97533,2.4562182,-9.6938,-1.875,7.8188,0,14.208765,1.397658495,12.5625,16.0125,3.45,0,-38.97097,0.263481252,-39.2438,-38.025,1.2188,1,Rotation Left
0.447345,0.767007073,-0.4972,1.7682,2.2654,2,-0.32021,0.190778704,-0.5411,0.1019,0.643,2,0.09245,0.15133397,-0.052,0.5069,0.5589,2,0.153115,0.126122961,-0.069,0.278,0.347,0,0.38916,0.090798356,0.2607,0.5283,0.2676,1,1.104315,0.120558833,0.8198,1.1839,0.3641,0,2.63252,1.840928862,0.5625,6.0188,5.4563,0,15.33003,0.770905077,14.3438,16.2938,1.95,1,-39.40502,0.496042766,-40.1063,-38.85,1.2563,1,Rotation Left
1.31438,0.45753039,0.5817,1.8852,1.3035,2,-0.140865,0.225192576,-0.5921,0.1231,0.7152,2,-0.088,0.870694527,-1.1922,1.0823,2.2745,1,0.123985,0.21276665,-0.069,0.4454,0.5144,1,0.3647,0.126513987,0.2534,0.5515,0.2981,1,0.741885,0.04931062,0.6743,0.8198,0.1455,0,7.517825,1.297716867,6.0188,9.9375,3.9187,0,14.356905,0.645580706,13.5563,14.9438,1.3875,1,-39.60191,0.275985072,-40.0125,-39.3188,0.6937,0,Rotation Left
1.013185,0.160628644,0.7362,1.3973,0.6611,3,-0.213235,0.116124611,-0.4177,-0.0073,0.4104,2,0.584965,0.888026284,-0.7787,1.6799,2.4586,1,-0.00488,0.387620314,-0.5589,0.4099,0.9688,0,0.37607,0.036880267,0.3292,0.4085,0.0793,1,0.8577,0.037136074,0.7635,0.8881,0.1246,1,12.0319,1.299531448,9.9375,13.9313,3.9938,0,13.556275,0.444701621,12.9938,14.1188,1.125,1,-38.929695,0.331352396,-39.3188,-38.5125,0.8063,1,Rotation Left
1.19502,0.240274677,0.7905,1.5041,0.7136,2,-0.018815,0.233755232,-0.4571,0.2586,0.7157,1,0.115915,0.560839886,-0.7787,0.766,1.5447,2,-0.076275,0.186516878,-0.3499,0.1253,0.4752,0,0.186975,0.06426611,-0.0862,0.2179,0.3041,1,0.72749,0.147911243,0.2589,0.8551,0.5962,0,16.06877,0.91253274,13.9313,17.1562,3.2249,0,11.71691,0.499563144,11.3438,12.9938,1.65,0,-38.41317,0.559364838,-39.1313,-37.8188,1.3125,1,Rotation Left
0.600985,0.409431841,0.1626,1.5041,1.3415,2,0.108715,0.087227549,-0.0295,0.2835,0.313,3,0.22158,0.305927394,-0.2033,0.6207,0.824,1,0.005535,0.081312319,-0.0727,0.1253,0.198,0,-0.009355,0.073358084,-0.0862,0.0971,0.1833,1,0.106535,0.104359673,-0.0587,0.2589,0.3176,0,17.35033,0.270261623,17.0625,17.8313,0.7688,0,10.530925,0.243861395,10.3125,11.0438,0.7313,0,-37.79347,0.204456218,-38.025,-37.5188,0.5062,1,Rotation Left
-0.191755,0.143543417,-0.3397,0.1035,0.4432,1,0.09319,0.123578877,-0.3273,0.1972,0.5245,1,0.188195,0.537061241,-0.3385,1.0261,1.3646,0,0.00315,0.120333381,-0.2083,0.1387,0.347,1,0.02979,0.076809908,-0.0472,0.1446,0.1918,1,-0.062435,0.039077631,-0.0978,0,0.0978,0,11.71689,10.5487625,-10.0688,17.9438,28.0126,1,3.684405,14.19271665,-29.2313,11.0438,40.2751,1,-32.397225,11.81985748,-38.8313,0,38.8313,2,Rotation Left
-0.292885,0.131158596,-0.5127,-0.1258,0.3869,2,-0.08756,0.109247652,-0.1866,0.1737,0.3603,1,0.176485,0.39958008,-0.2499,1.0261,1.276,0,0.00469,0.07306172,-0.0848,0.0788,0.1636,0,0.01701,0.073032889,-0.0912,0.1166,0.2078,1,-0.04814,0.041054457,-0.105,0.0133,0.1183,0,-9.00282,1.078764427,-10.1625,-7.725,2.4375,1,-29.401915,0.698448207,-30.4313,-28.7438,1.6875,1,-24.944105,0.3679672,-25.4438,-24.6188,0.825,1,Rotation Left
-0.52836,0.187346194,-0.8196,-0.1788,0.6408,3,-0.10007,0.066326722,-0.2027,-0.0032,0.1995,1,0.146625,0.231506419,-0.2161,0.4787,0.6948,1,-0.035855,0.052899418,-0.0813,0.0434,0.1247,1,-0.015075,0.104665619,-0.1229,0.1251,0.248,1,0.06139,0.040058007,0.0133,0.1063,0.093,0,-9.63375,0.821147254,-10.65,-8.7,1.95,0,-29.5875,1.042877629,-30.9375,-28.275,2.6625,0,-24.91127,1.130721004,-26.3625,-23.4563,2.9062,1,Rotation Left
-0.397065,0.272401295,-0.8196,-0.0906,0.729,3,0.11392,0.163946475,-0.1385,0.4711,0.6096,1,0.180465,0.151979111,-0.0427,0.4481,0.4908,1,-0.04536,0.024099842,-0.0813,-0.0153,0.066,1,0.031235,0.082691718,-0.0459,0.1251,0.171,1,0.26929,0.09410772,0.1063,0.3959,0.2896,0,-10.14097,0.982779258,-11.2313,-8.7938,2.4375,1,-28.836595,0.963272536,-29.8875,-27.5438,2.3437,0,-25.507535,0.674910786,-26.475,-24.9188,1.5562,0,Rotation Left
