time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2025-08-15T23:59:35.654Z,0.7431,-1.0365,-0.6792,0.2595,0.2905,0.3123,0.7433,19.9722,-40.9386
2025-08-15T23:59:35.664Z,0.8892,-1.1488,-0.5527,0.2426,0.1171,0.2227,0.8814,19.7708,-41.1281
2025-08-15T23:59:35.674Z,0.9952,-1.2542,-0.447,0.2019,-0.0612,0.1404,1.0431,19.784,-41.0069
2025-08-15T23:59:35.684Z,1.0661,-1.3323,-0.3158,0.1518,-0.2227,0.0774,1.0461,19.4879,-40.7878
2025-08-15T23:59:35.694Z,1.0861,-1.3806,-0.1996,0.0972,-0.3101,0.0467,0.8791,19.554,-41.1316
2025-08-15T23:59:35.704Z,1.0806,-1.4194,-0.1791,0.0489,-0.3137,0.0336,0.7088,19.5352,-41.1481
2025-08-15T23:59:35.714Z,1.0336,-1.4128,-0.1942,0.0092,-0.2501,0.0351,0.7005,19.5644,-41.0759
2025-08-15T23:59:35.724Z,1.014,-1.4008,-0.2348,-0.0181,-0.1232,0.0425,0.5877,19.643,-41.1377
2025-08-15T23:59:35.734Z,1.0487,-1.3674,-0.3952,-0.0404,0.0454,0.0514,0.6691,19.6228,-41.2379
2025-08-15T23:59:35.744Z,1.0315,-1.3085,-0.6159,-0.0631,0.2075,0.0515,0.7408,19.6286,-41.0654
2025-08-15T23:59:35.754Z,0.9942,-1.1957,-0.7386,-0.0943,0.3295,0.0401,0.7622,19.634,-41.2305
2025-08-15T23:59:35.764Z,0.899,-1.0429,-0.7858,-0.1303,0.4076,0.0209,0.8235,19.7206,-41.2343
2025-08-15T23:59:35.774Z,0.8043,-0.8643,-0.8667,-0.1661,0.4451,0.0027,1.0455,19.7636,-41.0247
2025-08-15T23:59:35.784Z,0.7158,-0.675,-0.966,-0.1996,0.4381,-0.0179,1.1296,19.6138,-41.2428
2025-08-15T23:59:35.794Z,0.5924,-0.5089,-0.9613,-0.2369,0.3957,-0.0504,1.3831,19.7037,-40.9995
2025-08-15T23:59:35.804Z,0.5253,-0.4302,-1.013,-0.2648,0.3518,-0.0728,1.3432,19.7239,-40.9404
2025-08-15T23:59:35.814Z,0.5239,-0.3867,-1.1777,-0.2917,0.3243,-0.0837,1.5637,19.7488,-41.0993
